ID,GlideNumber,Country,OtherCountry,long,lat,Area,Began,Ended,Validation,Dead,Displaced,MainCause,Severity
1772,0,Sudan,Ethiopia,34.4277,14.9967,557928.11,2001-08-06,2001-09-13,News,5,45000,Heavy rain,1.0
1826,0,Uganda,0,31.7964,-0.145811,1218.62,2001-11-15,2001-11-16,News,0,1200,Heavy rain,1.0
1907,0,Ethiopia,0,43.0631,7.3106,282524.65,2002-04-16,2002-04-21,News,0,4000,Heavy rain,1.0
1915,0,Kenya,0,36.9101,-1.21807,3838.09,2002-04-29,2002-05-02,News,2,0,Heavy rain,1.0
2055,0,Kenya,0,38.8525,-3.08984,63445.93,2002-09-16,2002-09-19,News,0,0,Heavy rain,1.0
2078,0,Kenya,0,40.0925,-1.41562,77910.06,2002-10-29,2002-11-04,News,14,20000,Heavy rain,1.0
2088,0,Kenya,0,36.9154,-1.21267,924.671,2002-11-17,2002-11-20,News,12,2000,"Dam/Levy, break or release",1.0
2092,0,Uganda,Kenya,34.0375,0.949211,15002.61,2002-11-16,2002-11-25,News,2,2300,Heavy rain,1.0
2093,0,Somalia,0,42.3967,1.42576,65263.03,2002-11-08,2002-11-21,News,0,0,Heavy rain,1.0
2108,0,Kenya,0,35.9643,0.498246,751.122,2002-12-21,2002-12-23,News,6,3000,Heavy rain,1.0
2118,0,Kenya,0,34.8513,-0.10174,396.349,2003-01-04,2003-01-06,News,0,300,Heavy rain,1.0
2213,0,Kenya,Uganda,35.1979,-0.139191,466914.56,2003-04-21,2003-06-04,News,77,1000000,Heavy rain,1.0
2224,0,Ethiopia,Somalia,44.6354,5.37112,52987.31,2003-05-04,2003-05-20,News,106,111000,Heavy rain,1.0
2226,0,Somalia,0,42.4167,1.50529,33795.0,2003-05-06,2003-05-08,News,0,0,Heavy rain,1.0
2270,0,Uganda,0,34.1376,0.93959,962.615,2003-07-01,2003-07-03,News,20,700,Heavy rain,1.0
2285,0,Ethiopia,0,41.0562,10.9021,53538.05,2003-07-19,2003-08-01,News,2,7000,Heavy rain,1.0
2307,0,Sudan,0,34.0017,13.8844,118350.1,2003-08-03,2003-08-25,News,9,13000,Heavy rain,1.0
2322,0,Somalia,0,43.9989,9.41454,5503.86,2003-08-18,2003-08-20,News,1,0,Heavy rain,1.0
3310,0,Ethiopia,0,40.4424,10.4016,63924.49,2003-08-19,2003-09-09,News,0,7000,Heavy rain,1.0
2334,0,Kenya,0,34.2442,0.22722,2470.75,2003-08-26,2003-09-12,News,1,2100,Heavy rain,1.0
2331,0,Kenya,0,35.6894,0.98718,2922.85,2003-08-24,2003-08-24,News,0,400,Brief torrential rain,1.0
2344,0,Ethiopia,0,37.868,10.5406,10530.39,2003-09-05,2003-09-05,News,7,0,Brief torrential rain,1.0
2374,0,Rwanda,0,30.2562,-1.44887,3857.91,2003-10-30,2003-10-31,News,0,7000,Heavy rain,1.0
