id,name,country,disaster_type,year,month,day
48988,Sudan: Cholera Outbreak - Sep 2019,Sudan,"[{'id': 4642, 'name': 'Epidemic', 'code': 'EP', 'primary': True}]",2019,9,9
49108,Ethiopia: Floods - Aug 2019,Ethiopia,"[{'id': 4624, 'name': 'Flash Flood', 'code': 'FF'}, {'id': 4611, 'name': 'Flood', 'code': 'FL', 'primary': True}]",2019,8,11
49508,Sudan: Dengue Fever Outbreak - Aug 2019,Sudan,"[{'id': 4642, 'name': 'Epidemic', 'code': 'EP', 'primary': True}]",2019,8,8
48464,South Sudan: Floods - Jun 2019,South Sudan,"[{'id': 4611, 'name': 'Flood', 'code': 'FL', 'primary': True}]",2019,6,7
48414,Ethiopia: Cholera Outbreak - Jun 2019,Ethiopia,"[{'id': 4642, 'name': 'Epidemic', 'code': 'EP', 'primary': True}]",2019,6,6
49223,Burundi: Cholera Outbreak - Jun 2019,Burundi,"[{'id': 4642, 'name': 'Epidemic', 'code': 'EP', 'primary': True}]",2019,6,5
48389,Sudan: Floods - Jun 2019,Sudan,"[{'id': 4611, 'name': 'Flood', 'code': 'FL', 'primary': True}, {'id': 4656, 'name': 'Severe Local Storm', 'code': 'ST'}]",2019,6,4
48454,Uganda: Floods and Landslides - Jun 2019,Uganda,"[{'id': 4611, 'name': 'Flood', 'code': 'FL', 'primary': True}, {'id': 4728, 'name': 'Land Slide', 'code': 'LS'}]",2019,6,4
48268,Tanzania: Floods - May 2019,United Republic of Tanzania,"[{'id': 4611, 'name': 'Flood', 'code': 'FL', 'primary': True}]",2019,5,8
48409,Burundi: Malaria Outbreak - May 2019,Burundi,"[{'id': 4642, 'name': 'Epidemic', 'code': 'EP', 'primary': True}]",2019,5,5
48078,Tropical Cyclone Kenneth - Apr 2019,Comoros,"[{'id': 4611, 'name': 'Flood', 'code': 'FL'}, {'id': 4728, 'name': 'Land Slide', 'code': 'LS'}, {'id': 4618, 'name': 'Tropical Cyclone', 'code': 'TC', 'primary': True}]",2019,4,23
48163,Kenya: Cholera Outbreak - Jan 2019,Kenya,"[{'id': 4642, 'name': 'Epidemic', 'code': 'EP', 'primary': True}]",2019,1,22
47703,South Sudan: Measles Outbreak - Dec 2018,South Sudan,"[{'id': 4642, 'name': 'Epidemic', 'code': 'EP', 'primary': True}]",2018,12,23
47463,Southern Africa: Drought - 2018-2022,Angola,"[{'id': 4672, 'name': 'Drought', 'code': 'DR', 'primary': True}]",2018,11,26
46769,Tropical Cyclone Luban - Oct 2018,Oman,"[{'id': 4611, 'name': 'Flood', 'code': 'FL'}, {'id': 4618, 'name': 'Tropical Cyclone', 'code': 'TC', 'primary': True}]",2018,10,10
46339,DR Congo: Ebola Outbreak - Aug 2018,Democratic Republic of the Congo,"[{'id': 4642, 'name': 'Epidemic', 'code': 'EP', 'primary': True}]",2018,8,1
46434,Horn of Africa: Polio Outbreak - Aug 2018,Ethiopia,"[{'id': 4642, 'name': 'Epidemic', 'code': 'EP', 'primary': True}]",2018,8,1
46364,Sudan: Floods - Jul 2018,Sudan,"[{'id': 4624, 'name': 'Flash Flood', 'code': 'FF', 'primary': True}, {'id': 4611, 'name': 'Flood', 'code': 'FL'}]",2018,7,23
45829,Tropical Cyclone Mekunu - May 2018,Oman,"[{'id': 4618, 'name': 'Tropical Cyclone', 'code': 'TC', 'primary': True}]",2018,5,23
45784,Tropical Cyclone Sagar - May 2018,Djibouti,"[{'id': 4618, 'name': 'Tropical Cyclone', 'code': 'TC', 'primary': True}]",2018,5,19
45774,Burundi: Floods - Apr 2018,Burundi,"[{'id': 4611, 'name': 'Flood', 'code': 'FL', 'primary': True}]",2018,5,4
45654,Tanzania: Floods - Apr 2018,United Republic of Tanzania,"[{'id': 4611, 'name': 'Flood', 'code': 'FL', 'primary': True}]",2018,4,18
45579,Somalia: Flash Floods - Apr 2018,Somalia,"[{'id': 4624, 'name': 'Flash Flood', 'code': 'FF', 'primary': True}, {'id': 4611, 'name': 'Flood', 'code': 'FL'}]",2018,4,10
45599,Ethiopia: Floods and Landslides - Apr 2018,Ethiopia,"[{'id': 4624, 'name': 'Flash Flood', 'code': 'FF', 'primary': True}, {'id': 4611, 'name': 'Flood', 'code': 'FL'}, {'id': 4728, 'name': 'Land Slide', 'code': 'LS'}]",2018,4,10
45414,Rwanda: Floods - Mar 2018,Rwanda,"[{'id': 4624, 'name': 'Flash Flood', 'code': 'FF'}, {'id': 4611, 'name': 'Flood', 'code': 'FL', 'primary': True}]",2018,3,3
45374,Kenya: Floods - Mar 2018,Kenya,"[{'id': 4624, 'name': 'Flash Flood', 'code': 'FF', 'primary': True}, {'id': 4611, 'name': 'Flood', 'code': 'FL'}]",2018,3,1
45229,Uganda: Cholera Outbreak - Feb 2018,Uganda,"[{'id': 4642, 'name': 'Epidemic', 'code': 'EP', 'primary': True}]",2018,2,23
44024,South Sudan: Floods - Sep 2017,South Sudan,"[{'id': 4611, 'name': 'Flood', 'code': 'FL', 'primary': True}]",2017,9,19
44189,Rwanda: Severe Local Storms - Sep 2017,Rwanda,"[{'id': 4611, 'name': 'Flood', 'code': 'FL'}, {'id': 4656, 'name': 'Severe Local Storm', 'code': 'ST', 'primary': True}]",2017,9,17
44084,Ethiopia: Floods - Aug 2017,Ethiopia,"[{'id': 4624, 'name': 'Flash Flood', 'code': 'FF'}, {'id': 4611, 'name': 'Flood', 'code': 'FL', 'primary': True}]",2017,8,28
43809,Sudan: Acute Watery Diarrhoea (AWD) Outbreak - Jul 2017,Sudan,"[{'id': 4642, 'name': 'Epidemic', 'code': 'EP', 'primary': True}]",2017,7,10
